Galaxy,eta,tau_unified,Hubble_Type_Num
DDO161,2.478636496229168,0.09332513958200886,10
ESO563-G021,1.6087968634413425,0.015821366856721197,4
F568-3,1.8314323445692549,0.03627980358919932,7
F568-V1,1.903549862968535,0.02094562715728248,7
F571-V1,1.8188246945782194,0.04771819622496409,7
F574-1,1.9738398583634726,0.03025567774167247,7
F574-2,,,9
F579-V1,2.3717139666878304,0.014054502343119906,5
F583-1,1.9296181012758284,0.046376196747382616,9
NGC0024,1.895006865353687,0.009201778044725424,5
NGC0289,1.202566415964025,0.0035888376992139824,4
NGC0801,1.4172630917512579,0.004902584251988433,5
NGC1003,3.437692133127009,0.0444079621846425,6
NGC1090,1.9134729225534113,0.015558167071730522,4
NGC1705,2.9725535611322345,0.003876983889378276,11
NGC2403,3.4188860496651055,0.019376003481943918,6
NGC2683,1.402133426617055,0.00010041546545060123,3
NGC2841,1.4153076784273446,0.0001224152481636806,3
NGC2903,1.5798241890608011,0.004539685940457636,4
NGC2915,1.6291628687888393,0.01549920445031596,11
NGC2955,2.688947780807252,0.004157045695365977,3
NGC2976,1.7888459005788973,0.01645530884146729,5
NGC2998,3.223826337837311,0.008543329315367765,5
NGC3198,2.034250506182095,0.021449763090221577,5
NGC3521,2.276559229314538,0.0028845671283028876,4
NGC3726,1.7391448235669744,0.023070019555650842,5
NGC3741,3.8601493242811244,0.32930680368573434,10
NGC3769,2.1767217093948488,0.013925534033450544,3
NGC3877,1.667043783805678,0.014008240173713073,5
NGC3893,1.8361320768787428,0.007016304661664291,5
NGC3917,1.7317675012118936,0.024386367180174544,6
NGC3949,2.6464071045358333,0.010945176000470376,4
NGC3953,1.9286232850865377,0.011717663741859003,4
NGC3972,2.2239533669819562,0.02691213771261879,4
NGC3992,1.1768679761376757,0.014406936960504987,4
NGC4013,1.4332534534080903,0.000328985482336439,3
NGC4051,8.328022265556136,0.040260375524973066,4
NGC4085,1.681295502343277,0.01410267903746946,5
NGC4088,1.7248073879975891,0.014179487356930117,4
NGC4100,1.448766238149452,0.01127547043589737,4
NGC4138,1.3619223411788468,8.858801487832978e-05,0
NGC4157,1.608572365127741,0.010876212343235698,3
NGC4214,10.889906092412923,0.010758159081688342,10
NGC4389,2.1364292644044336,0.07509360836871788,4
NGC5005,16.341551044440028,0.0020778182485131787,4
NGC5033,1.5901427914245112,0.0014584813292924693,5
NGC5055,2.1495440706722087,0.004351113238212204,4
NGC5371,8.101615710393702,0.0006264612040209781,4
NGC5585,2.8399659224923575,0.04781673142676374,7
NGC5985,1.8871134801459852,0.010773844408281922,3
NGC6015,2.1879406687725496,0.010762896058645948,6
NGC6503,2.070853271590065,0.007432629750348403,6
NGC6674,1.3425044691177972,0.00537724153273983,3
NGC7331,1.2631893349629795,0.00538093010946121,3
NGC7793,2.496349955689061,0.012491772576234161,7
NGC7814,1.6444779616986667,3.1307197446462985e-05,2
UGC02023,,,10
UGC02259,2.9409690711075394,0.018850172071416982,8
UGC02455,2.36104426456282,1.3280408669208188,10
UGC02487,1.3309101102117535,2.3244263784121834e-05,0
UGC02885,19.995290377845354,0.00023384950596744712,5
UGC02953,9.8954293968313,0.0009517078843002266,2
UGC03205,2.5712784500623442,0.005014821020281509,2
UGC03546,1.4401837546199903,2.7546670199058675e-05,1
UGC03580,16.524556559934208,0.7619597157113026,1
UGC04325,1.7889068956099947,0.0127603160810129,9
UGC04499,2.0108307987164227,0.0334518168634733,8
UGC05253,9.604730235258867,6.456684634905161e-05,2
UGC05414,2.032142971394336,0.038458049205435045,10
UGC05716,3.568891009292423,0.055745506317471875,9
UGC05721,2.18874544656396,0.008236446808657621,7
UGC05918,2.235317689707448,0.03837343973371485,10
UGC06399,1.8906574727653394,0.031013214426366516,9
UGC06446,2.7014616561283153,0.02473960938774191,7
UGC06614,19.995290377845386,0.01328873563355945,1
UGC06628,1.9177103482348266,0.029983406305715447,9
UGC06667,1.953631192233266,0.03363631946855745,6
UGC06786,18.667950408375475,0.0019542563486887204,0
UGC06787,1.598822998957513,0.0004996559350639529,2
UGC06818,2.1182777765043728,0.0942804530444037,9
UGC06917,2.3018743522842646,0.02992410542660654,9
UGC06923,2.2809190383391678,0.029716192556562052,10
UGC06930,2.1749252194304756,0.029089107775041638,7
UGC06973,19.995290377845173,0.0006181904132159058,2
UGC06983,2.0971892984276552,0.022773309090634197,6
UGC07089,2.3146942559390693,0.07172607577942933,8
UGC07125,2.462626084015569,0.06951202060225793,9
UGC07151,1.9000249053467135,0.0167739702989537,6
UGC07232,,,10
UGC07261,2.840618903945087,0.020883869973539186,8
UGC07323,2.544135666127823,0.13587018709056975,8
UGC07399,2.57801401377848,0.015673587017856157,8
UGC07603,1.8925641730852312,0.016219242276797944,7
UGC07690,1.1890802330486998,0.005204568922751764,10
UGC07866,2.6113461843457233,0.055254445277675715,10
UGC08286,1.9095570677237443,0.016858090496821704,6
UGC08490,2.3534823485772254,0.010586166245047197,9
UGC08550,2.372749202112739,0.019236209359503872,7
UGC08699,2.487791325931203,0.0008445336814339602,2
UGC08837,1.6746033867128647,0.05866831511216288,10
UGC09037,2.063998996893696,0.03472505594344868,6
UGC09133,1.4521096788526733,2.5342073926892364e-05,2
UGC09992,,,10
UGC10310,1.8491331249638643,0.026085071270880653,9
UGC11455,1.8959878194928645,0.018626775704858274,6
UGC11820,3.9610243024840655,0.12172714731753735,9
UGC11914,2.1630770935794543,0.0015472040485190446,2
UGC12732,3.9036085288427795,0.11402859096820867,9
UGCA442,1.9967523991529716,0.037332233950704355,9
