Galaxy,N_points,R_min,R_max,V_max,V_mean,V_err_median,R_at_Vmax,Sparse_RC,Extended_RC,logL_W1,logMstar,logMstar_err,g_minus_W1,ML_W1,M_star
DDO161,31,0.6,13.37,67.5,49.25483870967741,2.09,10.52,False,False,8.664,8.409,0.044,1.27,0.56,256448403.65177214
ESO563-G021,30,0.45,42.41,321.0,263.31,8.95,37.3,False,True,11.432,11.186,0.009,3.0,0.57,153461698279.9294
F568-3,18,0.64,17.98,120.0,74.81666666666666,8.29,17.98,False,False,9.786,9.521,0.029,2.73,0.54,3318944575.52611
F568-V1,15,0.39,17.63,118.0,94.81333333333332,13.1,17.63,False,False,9.439,9.174,0.036,2.85,0.54,1492794409.5789943
F571-V1,7,1.95,13.59,84.3,69.74285714285715,6.0,11.66,False,False,9.051,8.786,0.052,2.77,0.54,610942024.9055715
F574-1,14,0.47,12.6,99.7,80.74285714285715,4.4,12.6,False,False,9.67,9.482,0.026,3.16,0.65,3033891184.194266
F574-2,5,2.17,10.83,40.0,28.32,8.0,10.83,False,False,9.308,9.102,0.078,3.12,0.62,1264736347.4711523
F579-V1,14,0.42,15.16,114.0,100.55714285714284,9.2,10.85,False,False,10.003,9.805,0.022,3.14,0.63,6382634861.905482
F583-1,25,0.26,16.26,86.9,53.264,6.0,15.49,False,False,8.885,8.62,0.046,2.87,0.54,416869383.47033465
NGC0024,29,0.21,11.27,110.0,84.65862068965517,8.52,11.27,False,False,9.642,9.384,0.005,1.76,0.55,2421029046.73618
NGC0289,28,1.5,71.12,194.0,173.03571428571428,6.77,2.52,False,True,10.859,10.594,0.006,2.84,0.54,39264493539.95993
NGC0801,13,1.17,59.82,238.0,207.46153846153845,6.2,3.52,False,True,11.45,11.186,0.008,2.55,0.55,153461698279.9294
NGC1003,36,1.25,30.24,115.0,99.03055555555557,2.7,30.24,False,True,9.861,9.606,0.012,1.29,0.56,4036453929.6760483
NGC1090,24,0.35,30.09,176.0,149.9958333333333,3.4450000000000003,11.28,False,True,10.856,10.794,0.005,3.6,0.87,62230028516.916016
NGC1705,14,0.22,6.0,73.2,69.64999999999999,5.515,1.55,False,False,8.79,8.533,0.007,1.61,0.55,341192911.6219281
NGC2403,73,0.16,20.87,136.0,107.9972602739726,1.8,17.39,False,True,10.014,9.76,0.018,2.97,0.56,5754399373.371567
NGC2683,11,2.89,34.62,212.0,177.63636363636363,10.0,5.77,False,True,10.856,10.903,0.004,4.19,1.11,79983425500.70293
NGC2841,50,3.44,63.64,323.0,301.42,5.93,8.57,False,True,11.246,11.293,0.005,4.13,1.11,196336027683.60434
