Galaxy,N_points,R_max,V_max,kappa1,RMS_resid,RMS_frac,Poly_deg,R_col,V_col
CamB,9,1.79,20.1,0.9925494053877201,0.1497569517068268,0.007450594612279939,3,R,V_obs
D564-8,6,3.07,25.0,0.9928010568735235,0.1799735781619135,0.00719894312647654,3,R,V_obs
D631-7,16,7.19,58.5,0.981882938398014,1.0598481037161789,0.018117061601985965,3,R,V_obs
DDO064,14,2.98,46.9,0.9567270836994072,2.029499774497801,0.043272916300592774,3,R,V_obs
DDO154,12,5.92,48.2,0.9934450918247444,0.31594657404732224,0.006554908175255648,3,R,V_obs
DDO161,31,13.37,67.5,0.9848137066085192,1.0250748039249509,0.015186293391480754,3,R,V_obs
DDO168,10,4.12,55.0,0.9813717618686182,1.0245530972259977,0.01862823813138178,3,R,V_obs
DDO170,8,12.33,62.2,0.9930892329353429,0.4298497114216681,0.0069107670646570436,3,R,V_obs
ESO079-G014,15,16.67,178.0,0.9789943848719743,3.7389994927885706,0.02100561512802568,3,R,V_obs
ESO116-G012,15,9.86,112.0,0.982080650882373,2.00696710117423,0.01791934911762705,3,R,V_obs
ESO444-G084,7,4.44,63.1,0.9855958141227774,0.9089041288527443,0.014404185877222572,3,R,V_obs
ESO563-G021,30,42.41,321.0,0.9493595634930099,16.255580118743843,0.05064043650699017,3,R,V_obs
F561-1,6,9.66,50.4,0.9833753602262337,0.8378818445978176,0.01662463977376622,3,R,V_obs
F563-1,17,20.1,112.5,0.9184466396934639,9.17475303448532,0.08155336030653618,3,R,V_obs
F563-V1,6,7.87,29.5,0.9844892645491305,0.4575666958006479,0.015510735450869421,3,R,V_obs
F563-V2,10,10.47,118.0,0.9761716683862739,2.8117431304196803,0.023828331613726102,3,R,V_obs
F565-V2,7,8.8,83.1,0.9892265686814394,0.8952721425723833,0.01077343131856057,3,R,V_obs
F568-1,12,13.23,142.0,0.9879518674718674,1.7108348189948324,0.012048132528132622,3,R,V_obs
F568-3,18,17.98,120.0,0.9701273392953118,3.584719284562587,0.029872660704688227,3,R,V_obs
F568-V1,15,17.63,118.0,0.9706039729767736,3.4687311887407217,0.029396027023226454,3,R,V_obs
F571-8,13,15.55,144.0,0.9738056879524181,3.771980934851794,0.0261943120475819,3,R,V_obs
F571-V1,7,13.59,84.3,0.9880659571109395,1.0060398155478067,0.01193404288906058,3,R,V_obs
F574-1,14,12.6,99.7,0.9807728553227678,1.916946324320053,0.019227144677232227,3,R,V_obs
F579-V1,14,15.16,114.0,0.9389091726420885,6.964354318801916,0.06109082735791154,3,R,V_obs
F583-1,25,16.26,86.9,0.9733074590213769,2.3195818110423407,0.02669254097862302,3,R,V_obs
F583-4,12,7.29,69.9,0.9762851377373809,1.6576688721570716,0.023714862262619048,3,R,V_obs
IC2574,34,10.23,67.5,0.973057825171637,1.8185968009145042,0.026942174828363023,3,R,V_obs
IC4202      1,32,25.9,250.0,0.9566413803141028,10.839654921474285,0.04335861968589714,3,R,V_obs
KK98-251,15,3.13,34.6,0.9817579236604095,0.6311758413498301,0.018242076339590463,3,R,V_obs
NGC0024,29,11.27,110.0,0.9460593063286548,5.93347630384798,0.053940693671345276,3,R,V_obs
NGC0055,21,13.5,87.4,0.988576887816077,0.9983800048748657,0.011423112183922947,3,R,V_obs
NGC0100,21,9.62,91.2,0.9889400343846659,1.0086688641184622,0.011059965615334016,3,R,V_obs
NGC0247,26,14.54,108.0,0.9724237968896282,2.9782299359201536,0.027576203110371792,3,R,V_obs
