Galaxy,tau_Myr,regime,Hubble_Type,Hubble_Type_Num,xi_GL,r_core,V0,logMstar
DDO161,91.31305667408978,Extended (τ>0),Irr,10,6.884620819443154,2.777583897403656,75.17339882338517,8.409
ESO563-G021,15.480259391198894,Transition,Sc,4,6.483267024752039,4.029885420639013,315.4100744803135,11.186
F568-3,35.49761378448606,Transition,Sd,7,5.196614502297151,2.837459171072668,109.84694512988416,9.521
F568-V1,20.494041029604784,Transition,Sd,7,2.904684230452195,1.5259302038573437,114.2638795435812,9.174
F571-V1,46.689395545414996,Transition,Sd,7,4.815849826010414,2.6477811964869966,84.85331441363542,8.786
F574-1,29.603367631832917,Transition,Sd,7,3.498737797050524,1.7725540307770242,98.84938496490432,9.482
F574-2,,Transition,Sm/Im,9,,,,9.102
F579-V1,13.751488342063414,Transition,Sc,5,1.7669550108955705,0.745011850380582,111.84895353580244,9.805
F583-1,45.37632947445235,Transition,Sm/Im,9,4.712251700100954,2.442064415225634,86.66738230216741,8.62
NGC0024,9.003388410279829,Transition,Sc,5,1.1916185190494843,0.6288201593544511,107.86163897016934,9.384
NGC0289,3.5114626315073223,Transition,Sc,4,1.2534770616632636,1.0423349970724292,173.37036941474966,10.594
NGC0801,4.796884908572037,Transition,Sc,5,1.6465903049059474,1.16180990988153,223.1126498573425,11.186
NGC1003,43.45052989911438,Transition,Sd,6,5.337742911542746,1.5527111517945626,112.48567865356546,9.606
NGC1090,15.222734173544806,Transition,Sc,4,3.211737831226122,1.6784861668908575,166.57703783023908,10.794
NGC1705,3.7933964117378327,Transition,Irr,11,0.3013599139086142,0.1013808187845831,72.0327623695051,8.533
NGC2403,18.958258321267873,Transition,Sd,6,2.7556473094463017,0.8060073571964264,135.8811480974828,9.76
NGC2683,0.09825051565648434,Transition,Sb,3,0.0303698158770532,0.0216597188973141,177.63636459683866,10.903
NGC2841,0.1197759847282402,Transition,Sb,3,0.0558750199451948,0.0394790622539982,301.41991837391214,11.293
NGC2903,4.4418106570235105,Transition,Sc,4,1.2666163781118989,0.8017451478983222,195.90563495790883,10.717
NGC2915,15.165042781761212,Transition,Irr,11,1.6982425994914052,1.0424019795847186,82.49000417850367,8.572
NGC2955,4.067420106499418,Transition,Sb,3,1.2359954839241796,0.4596576745544385,261.11003310988184,11.404
NGC2976,16.100533634992953,Transition,Sc,5,1.7603306157442622,0.9840593955994716,105.49484493318025,9.462
NGC2998,8.359135785423183,Transition,Sc,5,1.923132015595039,0.5965371003467772,212.81271576171173,11.061
NGC3198,20.98730783019136,Transition,Sc,5,3.867123103769176,1.901006337231808,151.79994978289517,10.464
NGC3521,2.8223760805144074,Transition,Sc,4,0.7064034121854282,0.3102943262311358,214.36420058551155,10.92
NGC3726,22.572631689517554,Transition,Sc,5,4.765386700590589,2.7400746826919296,161.90180295881925,10.706
NGC3741,322.2069740564921,Extended (τ>0),Irr,10,17.59281557654261,4.557547933671949,90.72095507578425,7.192
NGC3769,13.625300579336791,Transition,Sb,3,1.975417261716136,0.9075194376893142,119.9716202858418,10.147
NGC3877,13.706223581508661,Transition,Sc,5,2.993880438429816,1.7959218993007582,169.123416324513,10.649
NGC3893,6.865033667056347,Transition,Sc,5,1.622980934249353,0.883912957399161,183.0226348003072,10.689
NGC3917,23.86059895942248,Transition,Sd,6,4.121993990359062,2.380223665979691,137.58185982637622,10.356
NGC3949,10.70919883876073,Transition,Sc,4,1.9978593714690085,0.7549327418463923,171.51044871680378,10.409
NGC3953,11.465031803226655,Transition,Sc,4,3.069622114889061,1.5916131152338162,222.2623126002496,11.131
NGC3972,26.331914071382784,Transition,Sc,4,4.037400755751158,1.8154161034546168,141.96833019365118,10.126
NGC3992,14.0963244959157,Transition,Sc,4,7.43237573639819,6.3153861665862125,254.37499790976184,11.311
NGC4013,0.3218925803709988,Transition,Sb,3,0.0909285425290803,0.0634420536806411,178.41705875944123,10.769
NGC4051,39.392364892221515,Transition,Sc,4,6.529161302058058,0.7839990208794246,192.20825917349188,11.057
NGC4085,13.79862635054869,Transition,Sc,5,2.3858573882841343,1.4190589250722947,135.79865644815055,10.331
NGC4088,13.873778688486457,Transition,Sc,4,3.167329980526512,1.836338365992052,173.7090916220391,11.008
NGC4100,11.0323721512933,Transition,Sc,4,3.0386721536800243,2.097420600828883,179.5492754125974,10.775
NGC4138,0.08667806401855602,Transition,Sa,0,0.025446111280378,0.0186839664134979,165.57220961442158,10.642
NGC4157,10.6417220327283,Transition,Sb,3,2.790980360784779,1.7350667096429573,188.02677765066855,10.933
NGC4214,10.526213990516833,Transition,Irr,10,0.8707868103494907,0.0799627474249915,89.16148139353571,8.883
