Galaxy,n_points,V0,xi_GL,alpha,chi2_red,rms_resid,r_core,success,note
CamB,9,32.05566847905723,2.4059623060462934,1.0547092292755582,0.03169066687774754,0.14535168128312687,1.363325194374529,True,
D512-2,4,,,,,,,False,Too few points for TDGL fit (<6).
D564-8,6,26.12706106661839,1.5874280319467637,0.9440713265154382,0.0830000226245319,0.20371551563949652,0.8415784189298223,True,
D631-7,16,63.068013071331016,3.799657386335443,0.8740652565170985,1.6466509079984988,1.1566779425357692,1.9145712554950134,True,
DDO064,14,51.35076169036861,1.5345611520814861,1.0630687953861713,9.690854568001344,2.759391758134064,0.8734432882739293,True,
DDO154,12,48.80101533241663,2.2344303431931762,0.8829041836504726,1.4026779784537067,1.025674648141544,1.1336369119498124,True,
DDO161,31,75.17339882338517,6.884620819443154,0.6600128576002813,1.6819448559560386,1.2325485787294694,2.7775838974036557,True,
DDO168,10,57.80248035164781,2.0277583377339994,0.9653467081927641,7.922911190373114,2.355002724682326,1.0901611657303254,True,
DDO170,8,61.139177250358756,3.9268449069295275,0.9579824408919954,0.8991410781052871,0.74964203044907,2.101098176572706,True,
ESO079-G014,15,202.67056354499795,9.438669936504,0.7276351820979707,54.4944978597882,6.602696289231434,4.1431807973746,True,
ESO116-G012,15,114.81292290038589,3.192667474604124,0.7589814296633169,8.881253456285325,2.665521105718028,1.4499226972403827,True,
ESO444-G084,7,64.9940031976316,1.454789920664185,0.7365869448784275,1.1234678770647315,0.8012375702854861,0.645013808225693,True,
ESO563-G021,30,315.4100744803135,6.483267024752039,1.2599710286994725,34.42051825475541,5.565830255162285,4.029885420639013,True,
F561-1,6,50.41870938132522,3.0497777500703527,1.051050520564231,0.827632683813824,0.6432855834751094,1.7247259873100378,True,
F563-1,17,103.88033413544318,3.0136466254449314,1.5758420563557467,48.69910085612705,6.332862060831295,2.0605512930583147,True,
F563-V1,6,28.738402446119867,2.484655215682466,1.3372871047228878,2.026110862742113,1.0065065481014301,1.5874641113601133,True,
F563-V2,10,117.16001863879224,2.328890045539767,1.1933471528823534,2.726078250985642,1.3813959518146668,1.4096747847957525,True,
F565-V2,7,85.82035116807506,4.723358444325604,1.0278923994818834,1.4903412672201026,0.9228345362353048,2.637094132824509,True,
F567-2,5,,,,,,,False,Too few points for TDGL fit (<6).
F568-1,12,135.9894627866503,4.085312965771014,0.9199805258591308,10.917276476010361,2.861460703383461,2.130144047659887,True,
F568-3,18,109.84694512988416,5.196614502297151,0.9900858933367979,31.00759044517594,5.0832724404967005,2.837459171072668,True,
F568-V1,15,114.2638795435812,2.904684230452195,0.9306824320061613,4.476488428333989,1.8924034302091062,1.5259302038573435,True,
F571-8,13,154.47418456031988,6.4198794176585405,0.6868109928004889,11.540281678803446,2.979452928462829,2.68346237273518,True,
F571-V1,7,84.85331441363542,4.815849826010414,1.0015193030216747,1.0945653399311455,0.79086402657605,2.6477811964869966,True,
F574-1,14,98.84938496490433,3.498737797050524,0.8810533211107442,1.9539518421625834,1.2390511999045426,1.7725540307770242,True,
F574-2,5,,,,,,,False,Too few points for TDGL fit (<6).
F579-V1,14,111.84895353580244,1.7669550108955705,0.6937128455735164,9.536632621242616,2.737346979854618,0.745011850380582,True,
F583-1,25,86.66738230216741,4.712251700100954,0.9114243159214401,5.874299187569963,2.2736277806759766,2.442064415225634,True,
F583-4,12,78.35141444291207,4.632034876395582,0.5873381697043805,4.65660893486098,1.8688115745429594,1.670247332088186,True,
IC2574,34,128.88168777806493,21.167612637007768,0.7457628358438338,3.788002278673703,1.8584312695110927,9.47952938948869,True,
IC4202      1,32,243.52787363903624,4.060282792150105,1.1521507838324503,22.93395178252647,4.558935599777059,2.4139614730638397,True,
KK98-251,15,37.056973391578424,1.8173901316357515,1.200018234862077,1.1398463912528052,0.9549225691134565,1.103138836299628,True,
NGC0024,29,107.86163897016934,1.1916185190494843,0.9372313851827452,6.69157530906438,2.4493557072300622,0.6288201593544511,True,
NGC0055,21,89.05149434530547,4.745783424307896,0.8940049047649833,2.648467109256215,1.5066899697936385,2.4281428254650796,True,
NGC0100,21,90.29813424329797,3.6143131849432137,0.8526897014814907,3.0077499352022095,1.6056373728306355,1.7901552591711398,True,
NGC0247,26,151.80409662006795,17.738125181073517,0.46778108271870167,7.506637632429305,2.5769142664007605,4.928281651702478,True,
NGC0289,28,173.37036941474966,1.2534770616632636,3.2478911484071697,97.77185452107467,9.343248828942263,1.0423349970724292,True,
NGC0300,25,94.44596055895109,3.204149155993638,0.7583103498987801,8.355035607430214,2.7115367108963486,1.454120880056454,True,
NGC0801,13,223.11264985734252,1.6465903049059474,1.7179578931924835,112.52559312590286,9.303663179543143,1.16180990988153,True,
NGC0891,18,219.4446739527652,0.010466659324201318,7.617830204891157,102.82962969283851,9.25696268099669,0.009675051350300218,True,
NGC1003,36,112.48567865356546,5.337742911542746,0.48517912281199854,16.766535090072765,3.9203729200889423,1.5527111517945626,True,
NGC1090,24,166.57703783023908,3.211737831226122,0.9232254643237575,27.867263894643905,4.938001205732276,1.6784861668908575,True,
NGC1705,14,72.0327623695051,0.3013599139086142,0.5499243638627617,2.7447527611765374,1.4685337773473706,0.10138081878458312,True,
NGC2366,26,51.40647321645006,1.9003315608999058,1.1440636071383063,2.5689798065942604,1.5075009319000563,1.125659680975851,True,
NGC2403,73,135.8811480974828,2.7556473094463017,0.487344138325748,10.809213997315352,3.219471963451938,0.8060073571964264,True,
NGC2683,11,177.63636459683866,0.0303698158770532,1.7725097605226021,646.3181818181831,21.680626992244953,0.021659718897314172,True,
NGC2841,50,301.41991837391214,0.055875019945194844,1.7247865752627127,298.5995744751732,16.75361453557598,0.03947906225399825,True,
NGC2903,34,195.90563495790883,1.2666163781118989,1.3100406258022308,157.98511158111484,12.001885218354067,0.8017451478983222,True,
NGC2915,30,82.49000417850367,1.6982425994914052,1.227495826362341,9.818591007681416,2.972664109332448,1.0424019795847186,True,
NGC2955,24,261.11003310988184,1.2359954839241796,0.6056709080121543,162.2903919110155,11.916547021773486,0.45965767455443857,True,
NGC2976,27,105.49484493318025,1.7603306157442622,1.030140257076552,7.7541164749564615,2.625366255922986,0.9840593955994716,True,
NGC2998,13,212.81271576171173,1.923132015595039,0.5118018455661467,63.564954430730424,6.992575976910766,0.5965371003467772,True,
NGC3109,25,72.94290561174374,3.901258288916173,0.9238909070448725,1.2629516119689945,1.05422835217647,2.039789581093474,True,
NGC3198,43,151.79994978289517,3.867123103769176,0.8436504650381024,15.334313551828544,3.7768343520243515,1.901006337231808,True,
NGC3521,41,214.36420058551153,0.7064034121854282,0.7282420089266676,19.223501005378353,4.221007388152557,0.31029432623113584,True,
NGC3726,12,161.90180295881925,4.765386700590589,1.0825919355309008,58.69904661536165,6.6350798760468015,2.7400746826919296,True,
NGC3741,21,90.72095507578423,17.59281557654261,0.44354538411086514,2.289847667292705,1.4009734372803704,4.557547933671949,True,
NGC3769,12,119.9716202858418,1.9754172617161356,0.7702288417303352,21.363653372615303,4.002841494421366,0.9075194376893142,True,
NGC3877,13,169.123416324513,2.993880438429816,1.1722867871620157,5.440723444547798,2.045769263729755,1.7959218993007582,True,
NGC3893,10,183.02263480030717,1.622980934249353,0.985910119674683,81.7591682556248,7.565144927821103,0.883912957399161,True,
NGC3917,17,137.58185982637622,4.121993990359062,1.0909723490189709,5.512786176838541,2.1307138609856664,2.380223665979691,True,
NGC3949,7,171.51044871680378,1.9978593714690083,0.6155955212543817,5.052376118329634,1.6991386251912861,0.7549327418463923,True,
NGC3953,8,222.2623126002496,3.0696221148890612,0.9121399098925368,16.61347074365519,3.2223313322475846,1.5916131152338162,True,
NGC3972,10,141.96833019365118,4.037400755751158,0.7495427757601099,7.708992616904543,2.322992645669198,1.8154161034546168,True,
NGC3992,9,254.37499790976182,7.43237573639819,3.6786913210079395,252.31250617268384,12.969515698300222,6.3153861665862125,True,
NGC4010,12,136.63460222009934,5.029339477263896,0.817678905681436,35.92512791219597,5.19074618278981,2.4171901186038123,True,
NGC4013,36,178.41705875944123,0.09092854252908038,1.6644098967859111,122.26515168286433,10.586613672115632,0.06344205368064117,True,
NGC4051,7,192.20825917349188,6.529161302058058,0.28264389640530363,138.3760613591373,8.892245782835975,0.7839990208794246,True,
NGC4068,6,56.06625490119685,2.425353360404493,1.0463253145344755,0.3307068224588769,0.406636706692151,1.368072175003348,True,
